title;issn;issn2;lan_text;lan_text2;lan_text3;lan_text4;lan_text5;lan_text6;lan_text7;lan_text8;lan_text9;lan_text10;lan_text11
jarida la chama cha lugha na fasihi ya kiswahili tanzania (chalufakita);2591-7013;NA;NA;;;;;;;;;;
jos journal of medicine;2006-0734;NA;NA;;;;;;;;;;
journal de la faculté de médecine d’oran;NA;NA;English;French;;;;;;;;;
journal de la recherche scientifique de l’université de lomé;2413-354X;NA;Multiple;;;;;;;;;;
journal of academic finance;NA;NA;English;French;;;;;;;;;
journal of advanced transportation;2042-3195;0197-6729;English;;;;;;;;;;
journal of agriculture and environment;2695-236X;NA;NA;;;;;;;;;;
journal of agriculture, science and technology;1561-7645;NA;English;;;;;;;;;;
journal of applied sciences and environmental management;2659-1502;NA;English;;;;;;;;;;
journal of aquatic sciences;1115-2788;1018-3469;English;;;;;;;;;;
journal of banking;2736-1772;1597-2569;Na;;;;;;;;;;
journal of basic and clinical reproductive sciences;2320-2041;NA;English;;;;;;;;;;
journal of child and adolescent mental health;1728-0583;1728-0591;English;;;;;;;;;;
journal of computer networks and communications;2090-715X;2090-7141;English;;;;;;;;;;
journal of computer science and its application;2006-5523;NA;English;;;;;;;;;;
journal of development and communication studies;2305-7432;NA;English;;;;;;;;;;
journal of diabetes research;2314-6753;2314-6745;English;;;;;;;;;;
journal of dietitians association of nigeria;2635-3326;2141-8209;English;;;;;;;;;;
journal of drug and alcohol research;2090-8334;2090-8342;NA;;;;;;;;;;
journal of educational foundations;1119-9210;NA;NA;;;;;;;;;;
journal of engineering united kingdom;2314-4904;2314-4912;English;;;;;;;;;;
journal of environmental and public health;1687-9813;1687-9805;NA;;;;;;;;;;
journal of food stability;2664-5513;2663-1741;English;French;;;;;;;;;
journal of function spaces;2314-8896;2314-8888;English;;;;;;;;;;
journal of genetic engineering and biotechnology;1687-157X;2090-5920;English;;;;;;;;;;
journal of health, applied sciences and management;NA;NA;NA;;;;;;;;;;
journal of healthcare engineering;2040-2309;2040-2295;English;;;;;;;;;;
journal of immunology research;2314-8861;2314-7156;English;;;;;;;;;;
journal of interventional epidemiology and public health;2664-2824;NA;English;;;;;;;;;;
journal of language, technology & entrepreneurship in africa;1998-1279;NA;NA;;;;;;;;;;
journal of marine sciences;2633-4674;2633-4666;English;;;;;;;;;;
journal of mathematics;2314-4629;2314-4785;English;;;;;;;;;;
journal of nutrition and metabolism;2090-0724;2090-0732;English;;;;;;;;;;
journal of phytomedicine and therapeutics;1118-1028;NA;English;;;;;;;;;;
journal of policy and development studies ;NA;NA;English;;;;;;;;;;
journal of radiography and radiation sciences;2736-1071;2736-1063;NA;;;;;;;;;;
journal of research in forestry, wildlife and environment;2141-1778;NA;English;;;;;;;;;;
journal of research in national development;1596-8308;NA;NA;;;;;;;;;;
journal of science and sustainable development;2304-2702;2414-4479;English;;;;;;;;;;
journal of science and technology (ghana);2026-5646;0855-0395;English;French;;;;;;;;;
journal of skin cancer;2090-2905;2090-2913;English;;;;;;;;;;
journal of spectroscopy;2314-4920;2314-4939;English;;;;;;;;;;
journal of the cameroon academy of sciences;2617-3948;2617-393X;English;French;;;;;;;;;
journal of the nigerian optometric association;0794-0033;0795-0039;English;;;;;;;;;;
journal of the pan african thoracic society;2694-4561;NA;English;;;;;;;;;;
journal of the south african society of archivists;1012-2796;NA;English;;;;;;;;;;
journal of toxicology;1687-8191;1687-8205;English;;;;;;;;;;
journal of tropical medicine;1687-9694;1687-9686;English;;;;;;;;;;
jumuga journal of education, oral studies, and human sciences;NA;NA;English;;;;;;;;;;
kashere journal of education;2756-6013;2756-6021;English;;;;;;;;;;
kioo cha lugha;2546-2210;0856-0617;English;Kiswahili;;;;;;;;;
les cahiers du mecas;NA;NA;English;French;Arabic;;;;;;;;
lwati: a journal of contemporary research;1813-2227;NA;English;;;;;;;;;;
madagascar conservation & development;1662-2510;NA;English;;;;;;;;;;
makerere journal of higher education;1816-6822;2707-6113;English;;;;;;;;;;
malaria research and treatment;2044-4362;2090-8075;NA;;;;;;;;;;
malawi journal of economics;2312-9204;NA;English;;;;;;;;;;
mansoura veterinary medical journal;2682-2512;1110-7219;English;;;;;;;;;;
medical journal of zambia;0047-651X;NA;NA;;;;;;;;;;
mgbakoigba: journal of african studies;2346-7126;NA;English;;;;;;;;;;
mizan law review;2309-902X;1998-9881;English;Amharic;;;;;;;;;
mobile information systems;1574-017X;1875-905X;NA;;;;;;;;;;
mtafiti mwafrika (african researcher);1607-0011;NA;English;French;;;;;;;;;
mulika journal;NA;NA;Kiswahili;;;;;;;;;;
new agenda: south african journal of social and economic policy;1607-2820;NA;NA;;;;;;;;;;
nigeria agricultural journal;0300-368X;NA;English;French;;;;;;;;;
nigeria journal of pure and applied physics;1596-0862;NA;NA;;;;;;;;;;
nigerian food journal;0189-7241;NA;English;;;;;;;;;;
nigerian health journal;NA;NA;English;;;;;;;;;;
nigerian journal of animal science;2682-6550;2645-2952;NA;;;;;;;;;;
nigerian journal of biotechnology;0189-1731;NA;NA;;;;;;;;;;
nigerian journal of botany;NA;NA;English;;;;;;;;;;
nigerian journal of chemical research;1119-0221;NA;NA;;;;;;;;;;
nigerian journal of christian studies;2805-3710;2636-6126;NA;;;;;;;;;;
nigerian journal of clinical medicine;2141-1123;2141-1131;English;;;;;;;;;;
nigerian journal of dental research;2636-4956;2714-4089;English;;;;;;;;;;
nigerian journal of economic history;NA;NA;English;;;;;;;;;;
nigerian journal of family practice;2141-9884;NA;NA;;;;;;;;;;
nigerian journal of gastroenterology and hepatology;2251-0079;NA;English;;;;;;;;;;
nigerian journal of guidance and counselling;0794-0831;NA;English;;;;;;;;;;
nigerian journal of medicine;1115-2613;1597-7927;English;;;;;;;;;;
nigerian journal of natural products and medicine;1118-6267;NA;English;French;;;;;;;;;
nigerian journal of nutritional sciences;2805-4008;0189-0913;English;;;;;;;;;;
nigerian journal of ophthalmology;2468-8363;NA;English;;;;;;;;;;
nigerian journal of paediatrics;0302-4660;NA;English;;;;;;;;;;
nigerian journal of parasitology;1117-4145;NA;NA;;;;;;;;;;
nigerian journal of pharmaceutical research;2635-3555;0189-8434;English;;;;;;;;;;
nigerian journal of physiological sciences;0794-859X;NA;English;;;;;;;;;;
nigerian journal of psychiatry;0189-1774;NA;NA;;;;;;;;;;
nigerian journal of social psychology;2682-6151;2682-6143;English;;;;;;;;;;
nigerian journal of surgery;1117-6806;NA;English;;;;;;;;;;
nigerian journal of technological development;2437-2110;NA;English;;;;;;;;;;
nigerian libraries;0029-0122;NA;NA;;;;;;;;;;
nigerian medical practitioner;0189-0964;NA;NA;;;;;;;;;;
nigerian school library journal;0331-8214;NA;English;;;;;;;;;;
nigerian veterinary journal;0331-3026;NA;English;;;;;;;;;;
nnamdi azikiwe university journal of international law and jurisprudence;2276-7371;NA;English;;;;;;;;;;
nursing research and practice;2090-1437;2090-1429;English;;;;;;;;;;
obstetrics and gynaecology forum;1029-1962;1027-9148;English;;;;;;;;;;
occupational therapy international;0966-7903;1557-0703;English;;;;;;;;;;
ogirisi: a new journal of african studies;1597-474X;NA;NA;;;;;;;;;;
orient journal of medicine;1115-0521;NA;English;;;;;;;;;;
orient journal of surgical sciences;2734-3138;2971-625X;NA;;;;;;;;;;
oromia law journal;2304-8239;NA;English;Afaan Oromo;Amharic;;;;;;;;
papers in education and development;0856-4027;2665-0746;English;;;;;;;;;;
parkinsons disease;2090-8083;2042-0080;English;;;;;;;;;;
port harcourt medical journal;0795-3038;NA;English;;;;;;;;;;
prostate cancer;2090-312X;2090-3111;English;;;;;;;;;;
psyche journal of entomology;1687-7438;0033-2615;English;;;;;;;;;;
regional maritime university journal;2026-6324;NA;English;;;;;;;;;;
rehabilitation research and practice;2090-2867;2090-2875;English;;;;;;;;;;
research journal in advanced humanities;2708-5945;2708-5953;English;;;;;;;;;;
revista angolana de ciências;NA;NA;NA;;;;;;;;;;
revue africaine de chirurgie et spécialités;1997-3756;NA;English;French;;;;;;;;;
rwanda journal;2305-2678;2305-5944;NA;;;;;;;;;;
rwanda journal  of agricultural sciences;2707-7209;NA;English;;;;;;;;;;
rwanda journal of medicine and health sciences;2616-9819;2616-9827;English;;;;;;;;;;
rwanda journal of social sciences, humanities and business;2708-7603;NA;English;Other languages;;;;;;;;;
sapientiae revista de ciências sociais, humanas e enghenerias;NA;NA;English;Portuguese;Spanish;;;;;;;;
savannah journal of medical research and practice;2276-6839;NA;English;;;;;;;;;;
schizophrenia research and treatment;2090-2093;2090-2085;English;;;;;;;;;;
science and technology of nuclear installations;1687-6075;1687-6083;English;;;;;;;;;;
science et technique, sciences de la santé;1011-6028;NA;French;;;;;;;;;;
science, technology and arts research journal;2305-3372;NA;English;;;;;;;;;;
scientia africana;1118-1931;NA;English;;;;;;;;;;
scientific programming;1058-9244;1875-919X;English;;;;;;;;;;
scientific world journal the;1537-744X;2356-6140;NA;;;;;;;;;;
scientifica;NA;2090-908X;NA;;;;;;;;;;
security and communication networks;1939-0114;1939-0122;NA;;;;;;;;;;
shock and vibration;1875-9203;1070-9622;English;;;;;;;;;;
sierra leone journal of biomedical research;2219-3170;2076-6270;English;;;;;;;;;;
sokoto journal of medical laboratory science;2536-7153;NA;NA;;;;;;;;;;
sokoto journal of veterinary sciences;1595-093X;2315-6201;English;;;;;;;;;;
south african gastroenterology review;1812-1659;NA;NA;;;;;;;;;;
south african journal of african languages;2305-1159;0257-2117;English;Afrikaans;Zulu;Venda;Swati;Tswana;Southern sotho;Northern sotho;Xhosa;Tsonga;Ndebele
south african journal of agricultural extension;2413-3221;NA;English;;;;;;;;;;
south african law journal;NA;0038-2388;English;;;;;;;;;;
stroke research and treatment;2042-0056;2090-8105;English;;;;;;;;;;
sudan journal of medical sciences;1858-5051;NA;English;;;;;;;;;;
tanzania dental journal;0856-0625;NA;English;;;;;;;;;;
tanzania journal of development studies;0856-9622;2591-6831;English;;;;;;;;;;
tanzania journal of engineering and technology;1821-536X;NA;English;;;;;;;;;;
tanzania journal of health research;1821-6404;1821-9241;NA;;;;;;;;;;
tanzania veterinary journal;2714-206X;NA;English;;;;;;;;;;
the catholic voyage: african journal of consecrated life;NA;NA;NA;;;;;;;;;;
transactions of the south african institute of electrical engineers;NA;0038-2221;NA;;;;;;;;;;
tropical journal of health sciences;1117-4153;NA;English;;;;;;;;;;
tropical journal of nephrology;NA;NA;NA;;;;;;;;;;
tropical journal of obstetrics and gynaecology;0189-5117;NA;English;;;;;;;;;;
tydskrift vir geesteswetenskappe;NA;0041-4751;Afrikaans;Dutch;;;;;;;;;
uganda journal of agricultural sciences;2410-6909;1026-0919;English;;;;;;;;;;
ujah: unizik journal of arts and humanities;1595-1413;NA;Any language;;;;;;;;;;
university of dar es salaam library journal;0856-1818;2953-2515;NA;;;;;;;;;;
unizik journal of religion and human relations;2006-5442;NA;NA;;;;;;;;;;
veterinary medicine international;2042-0048;2090-8113;English;;;;;;;;;;
vulture news;1606-7479;NA;English;;;;;;;;;;
west african journal of industrial and academic research;2276-9129;1116-5405;English;;;;;;;;;;
wireless communications and mobile computing;1530-8669;1530-8677;NA;;;;;;;;;;
world journal of applied science & technology;NA;NA;English;;;;;;;;;;
zaria historical journal;NA;NA;NA;;;;;;;;;;
