title,language,issn,issn2
journal of elryssala for media studies,NA,2543-3938,2602-7763
almagallat alafriqiyat lilulum alsiyasiyat,Text in French | Text in Arabic | Text in English,2661-7323,2661-7617
afaq lilulum,Text in French | Text in Arabic | Text in English,2507-7228,2602-5345
revista angolana de ciencias,Text in Portuguese,2664-259X,NA
international journal of energetica,Text in English,2543-3717,NA
journal de neurochirurgie,Text in French | Text in English,2676-170X,1112-4962
langues et cultures,Text in French,2716-8212,2716-8093
les cahiers du cread,Text in English,1012-0009,2437-0568
revue des energies renouvelables,Text in French | Text in English,1112-2242,2716-8247
magallat albasair aliqtisadiyat,Text in French | Text in Arabic | Text in English,2437-0932,2600-6391
algerian journal of health sciences,Text in French | Text in Arabic | Text in English,2710-8082,2716-9464
algerian journal of renewable energy and sustainable development,Text in English,2710-849X,NA
enp engineering science journal,Text in English,2716-912X,2773-4293
faculte de medecine doran journal,Text in French | Text in English,2602-6511,2571-9874
journal of innovative applied mathematics and computational sciences,Text in English,2773-4196,NA
marang,Text in English,1816-7659,NA
botswana notes and records,Text in English,0525-5090,NA
pula,Text in English,0256-2316,NA
southern african journal of mathematics and science education,Text in English,1022-4572,NA
mosenodi,Text in English,1021-559X,NA
botswana journal of technology,Text in English,1019-1593,NA
sud sciences et technologies,Text in French,0796-5419,NA
societe ouestafricaine de chimie journal,Text in French,0796-6687,NA
annales des sciences agronomiques du benin,Text in French,1659-5009,NA
imhotep,Text in French | Text in English,1608-9324,NA
cameroon academy of sciences journal,Text in French | Text in English,null,NA
universite de yaounde faculte des lettres et sciences humaines annales serie sciences humaines,Text in French | Text in English,1012-1765,NA
universite de yaounde faculte des lettres et sciences humaines annales serie lettres,Text in French | Text in English,1012-1757,NA
cameroon journal of agricultural science,Text in French | Text in English,1813-3320,NA
cameroon journal of experimental biology,Text in French | Text in English,1816-0573,NA
health sciences and disease,Text in French | Text in English,1684-2782,2309-6535
international journal of biological and chemical sciences,Text in English,1991-8631,1997-342X
cahiers des religions africaines,Text in French | Text in English,0008-0047,NA
congoafrique,Text in French,null,NA
journal ivoirien doceanologie et de limnologie,Text in French | Summaries in English,1018-0354,NA
revue africaine de theologie,Summaries in French | Text in French | Text in English,1016-2461,NA
universite dabidjan annales serie e ecologie,Text in French,0587-4122,NA
universite dabidjan annales serie b medecine,Text in French,0253-441X,NA
universite dabidjan annales serie a droit,Text in French,0254-0355,NA
universite dabidjan annales serie c sciences,Text in French,0251-4214,NA
universite dabidjan annales serie i histoire,Text in French,0302-6906,NA
universite dabidjan annales serie j traditions orales,Text in English,1010-6634,NA
universite dabidjan annales serie d lettres litterature,Text in French,0587-4114,NA
universite dabidjan annales serie h linguistique,Text in French,1011-6737,NA
universitaire de djibouti revue,Text in French,1997-4493,NA
revue medicale des grandlacs,Text in French | Text in English,2304-0149,2304-0173
annales africaines de medecine,Text in French,2309-5784,2313-3589
akofena,Text in French | Text in English,2708-0633,2706-6312
ziglobitha,Text in French,2708-390X,2709-2836
mouvements et enjeux sociaux,Text in French | Text in English,2790-3095,2790-3109
cahiers africains des droits de lhomme et de la democratie ainsi que du developpement durable,Text in French | Text in English,2791-1063,2791-1071
ethiopian medical journal,Text in English,0014-1755,NA
journal of ethiopian law,Text in Amharic | Text in English,0022-0914,NA
journal of ethiopian studies,Text in Italian | Text in French | Text in Amharic | Text in English,0304-2243,NA
ethiopian journal of education,Text in English,0425-4414,NA
ier flambeau,Text in English,null,NA
ethiopian journal of agricultural sciences,Text in English,0257-2605,2415-2382
african livestock research,Text in French | Text in English,1013-7750,NA
sinet,Text in English,0379-2897,2520-7997
chemical society of ethiopia bulletin,Text in English,1011-3924,1726-801X
eastern africa social science research review,Text in English,1027-1775,1684-4173
the ethiopian journal of health development,Text in English,1021-6790,NA
bahir dar journal of education,Text in English,1816-336X,2415-0452
ethiopian journal of the social sciences and humanities,Text in English,1810-4487,2520-582X
ethiopian pharmaceutical journal,Text in English,1029-5933,NA
east african journal of sciences,Text in English,1992-0407,1993-8195
african research review,Text in English,1994-9057,2070-0083
africa review of books,Text in English,null,NA
ethiopian journal of environmental studies and management,Text in English,1998-0507,NA
ethiopian journal of biological sciences,Text in English,1819-8678,NA
ethiopian journal of crop science,Text in English,2072-8506,NA
journal of business and administrative studies,Text in English,2077-3420,NA
the ethiopian journal of higher education,Text in English,2076-751X,NA
journal of african development studies,Text in English,2079-0155,NA
mizan law review,Text in English,1998-9881,NA
momona ethiopian journal of science,Text in English,2073-073X,2220-184X
ethiopian e journal for research and innovation foresight,Text in English,2042-6356,NA
ethiopian journal of education and sciences,Text in English,1998-8907,NA
ethiopian journal of health sciences,Text in English,1029-1857,2413-7170
jimma university journal of law,Text in English,2074-4617,2411-9601
science technology and arts research journal,Text in English,2226-7522,2305-3372
international journal of interdisciplinary and multidisciplinary studies,Text in Bengali | Summaries in English | Text in English,2519-7908,2348-0343
ethiopian veterinary journal,Text in English,1683-6324,2221-5034
african journal of pharmacy biology and medical science,Text in English,2312-9549,NA
the ethiopian journal of business and economics,Text in English,2311-9772,2410-2393
international journal of pharmaceuticals and health care research,Text in English,2306-6091,NA
ethiopian journal of social sciences and language studies,Text in English,2412-5180,2408-9532
ethiopian renaissance journal of social sciences and the humanities,Text in English | Text occasionally in Amharic,2409-6377,2409-6385
journal de afrikana,Text in English,2411-1376,NA
ethiopian journal of laboratory medicine,Text in English,2411-054X,NA
ethiopian journal of pediatrics and child health,Text in English,2413-2640,2519-0334
the ethiopian journal of science and technology,Text in English,1816-3378,2312-6019
journal of africancentered solutions in peace and security,Text occasionally in French | Text in English,2518-8135,NA
east african journal of health and biomedical sciences,Text in English,2519-917X,NA
the ethiopian journal of reproductive health,Text in English,2520-0275,2520-0283
omo international journal of sciences,Text in English,2520-4882,NA
east african journal of social sciences and humanities,Text in English,2521-2192,NA
international journal of pharmacology and clinical research,Text in English,2521-2206,NA
ethiopian journal of business management and economics,Text in English,2520-4971,NA
journal of agriculture and environmental sciences,Text in English,2616-3713,2616-3721
gadaa journal,Text in English | Text in ORM,2616-3977,2616-3985
ethiopian journal of veterinary science and animal production,Text in English,2616-4647,NA
abyssinia journal of science and technology,Text in English,2616-471X,2616-4728
east african journal of veterinary and animal sciences,Text in English,2616-8804,NA
horn of africa journal of business and economics,Text in English,2617-0078,2617-0086
the ethiopian journal of science and sustainable development,Text in English,1998-0531,2663-3205
panafrican journal of governance and development,Text in English,2707-1308,2707-1316
ethiopian journal of public health and nutrition,Text in English,2523-1170,NA
ifsmrc african international journal of research in management,Text in English,2308-1341,2308-3034
journal of equity in sciences and sustainable development,NA,2523-1901,NA
east african journal of biophysical and computational sciences,Text in English,2789-3618,2789-360X
egypte monde arabe,Text in French | Text in English,1110-5097,NA
egyptian journal of animal production,Summaries in Arabic | Summaries in English | Text in English,0302-4520,2735-3028
egyptian journal of horticulture,Summaries in Arabic | Summaries in English | Text in English,1110-0206,NA
egyptian journal of dairy science,Summaries in Arabic | Summaries in English | Text in English,0378-2700,NA
assiut veterinary medical journal,NA,1012-5973,NA
egyptian journal of veterinary science,Summaries in Arabic | Summaries in English | Text in English,null,NA
egyptian dental journal,Summaries in Arabic | Text in English,0070-9484,2090-2360
journal of drug research of egypt,Summaries in Arabic | Summaries in English | Text in English,null,NA
groupe international detude de la ceramique egyptienne bulletin de liaison,Text in French | Text in German | Text in English,0255-0903,NA
institut francais darcheologie orientale du caire bulletin,Text in French | Text in German | Text in English,0255-0962,NA
egyptian journal of desert research,Summaries in Arabic | Text in English,1687-8043,NA
alif,Text occasionally in French | Text in Arabic | Text in English,1110-8673,NA
journal of engineering sciences,Text in English,1687-0530,NA
alexandria dental journal,Text in Arabic,1110-015X,NA
egyptian journal of petroleum,Summaries in Arabic | Summaries in English | Text in English,1110-0621,2090-2468
veterinary medical journal giza,Text in English,1110-1423,NA
mansoura journal of pharmaceutical sciences,Text in Arabic | Text in English,null,NA
alexandria science exchange,Summaries in Arabic | Summaries in English | Text in English,1110-0176,NA
zagazig journal of pharmaceutical sciences,Text in Arabic | Text in English,1110-5089,NA
arab journal of biotechnology,Text in Arabic,1110-6875,NA
eastern mediterranean health journal,Text in English,1020-3397,NA
journal of engineering and applied science,Text in English | Abstracts and contents page in Arabic,1110-1903,NA
magallat asyut alulum alziraiyyat,Text in Arabic,0258-3275,NA
egyptian journal of solids,Text in English,1012-5566,NA
serket,Text in English,1110-502X,NA
egyptian journal of zoology,Text in English,1110-6344,NA
magallat kuliyyat altigarat lilbuhuth alilmiyat,Text in Arabic | Text in English,1110-7588,NA
assiut journal of agricultural sciences,Text in English,1110-0486,NA
bulletin of pharmaceutical sciences,Summaries in Arabic | Text in English,1110-0052,NA
journal of the advances in agricultural research,Text in Arabic | Text in English,1110-5585,NA
al azhar journal of pediatrics,Text in English,1110-7774,NA
alazhar university engineering sector journal,Text in English,1687-8418,NA
alexandria engineering journal,Text in English,1110-0168,NA
alexandria journal of veterinary sciences,Text in English,1110-2047,2536-9520
annals of agricultural science moshtohor,Text in English,1110-0419,NA
arab universities journal of agricultural sciences,Text in English,1110-2675,2636-3585
assiut medical journal,Abstracts in English | Abstracts in Arabic | Text in English,1110-0494,NA
banha veterinary medical journal,Text in English,1110-6581,NA
benisuef veterinary medical journal,Text in English,1687-7926,NA
assiut university journal of chemistry,Text in English,1687-4919,NA
ain shams university economic and business review,Text in English,1110-1008,NA
egyptian computer science journal,Text in English,1110-2586,NA
egyptian journal of remote sensing and space sciences,Text in English,1110-9823,NA
egyptian journal of aquatic biology and fisheries,Text in English,1110-6131,NA
egyptian journal of applied science,Text in English,1110-1571,NA
the egyptian journal of agronematology,Text in English,1110-6158,2735-4989
egyptian journal of biophysics,Text in English,1110-6565,NA
egyptian journal of ear nose throat and allied sciences,Text in English,2090-0740,2090-3405
egyptian journal of occupational medicine,Text in English,1110-1881,NA
egyptian journal of immunology,Text in English,1110-4902,2090-2506
egyptian poultry science journal,Text in English,1110-5623,NA
journal of arab child,Text in English,1110-0672,2090-2530
journal of petroleum and mining engineering,Text in English,1110-6506,NA
journal of productivity and development,Text in English,1110-2543,NA
annals of agricultural science,Text in English,0570-1783,2090-8377
assiut university journal of mathematics and computer science,Text in English,1687-4897,NA
mansoura journal of physics,Text in English,1687-5095,NA
mansoura journal of chemistry,Text in English,1687-5060,NA
mansoura journal of biology,Text in English,1687-5087,NA
egyptian journal of anaesthesia,Text in English,1110-1849,1687-1804
the egyptian journal of biochemistry molecular biology,Text in English,1687-1502,2090-2603
the medical research institute journal,Text in English,1110-0133,NA
menoufia medical journal,Text in Arabic | Text in English,1110-2098,NA
mental peace,Text in Arabic,1110-1334,NA
minufiya journal of agricultural research,Text in English,1110-0265,NA
port said engineering research journal,Text in English,1110-6603,NA
sohag medical journal,Text in English,1687-8353,NA
high institute of public health journal,Text in English,2357-0601,2357-061X
the egyptian journal of medical sciences,Text in English,1110-0540,NA
the egyptian journal of psychiatry,Text in Arabic | Text in English,1110-1105,2090-2425
the egyptian journal of surgery,Text in English,1110-1121,NA
military medical journal,Text in English,2682-2067,NA
the egyptian rheumatologist,Text in English,1110-1164,NA
egyptian journal of basic and clinical pharmacology,Text in English,2090-7222,2090-7230
water science,Text in English,1110-4929,NA
zagazig university medical journal,Text in English,1110-1431,2357-0717
zagazig veterinary journal,Text in Arabic | Text in English,1110-1458,NA
cybrarians journal,Text in Arabic,1687-2215,NA
the egyptian journal of hypertension and cardiovascular risk,Text in English,1687-5338,NA
mansoura journal of mathematics,Text in English,1687-5079,NA
egyptian womens dermatological society journal print,Text in English,1687-1537,NA
journal of nuclear and radiation physics,Text in English,1687-420X,2090-3243
global media journal arabian edition,Text in Arabic,null,NA
arab media society,Text in English,1687-7721,NA
egyptian academic journal of biological sciences a entomology,Text in English,1687-8809,NA
magallat aliqtisadiyyin alziraiyyin alarab,Text in Arabic,1687-7551,NA
mediterranean aquaculture journal,Text in English,1687-7616,1687-7187
parasitologists united journal,Text in English,1687-7942,2090-2646
tanta medical sciences journal,Text in English,1687-5788,1687-7918
alexandria journal of agricultural research,Summaries in Arabic | Summaries in English | Text in English,0044-7250,NA
university of cairo faculty of medicine medical journal,Text in English,0045-3803,NA
egyptian journal of genetics and cytology,Text in English,0046-161X,NA
zagazig journal of occupational health and safety,Text in Egyptian,1687-8671,NA
egyptian dermatology online journal,Text in English,1687-3831,NA
historical kan periodical,Text in Arabic | Text in English,2090-0449,NA
egyptian journal of health care,Summaries in Arabic | Text in English,1687-9546,NA
egyptian ophthalmological society journal,Text in English,2090-0686,NA
khamasin online,Text in English,2090-0589,NA
nile water science and engineering journal,Text in English,2090-0953,2090-0961
egyptian academic journal of biological sciences b zoology,Text in English,2090-0759,2090-0821
egyptian academic journal of biological sciences c physiology and molecular biology,Text in English,2090-0767,2090-083X
egyptian academic journal of biological sciences d histology and histochemistry,Text in English,2090-0775,2090-0848
egyptian academic journal of biological sciences e medical entomology and parasitology,Text in English,2090-0783,2090-0856
egyptian academic journal of biological sciences f toxicology and pest control,Text in English,2090-0791,2090-0864
egyptian academic journal of biological sciences g microbiology,Text in English,2090-0872,2090-0880
the online journal on electronics and electrical engineering,Text in English,2090-0279,NA
the egyptian journal of environmental change,Text in English,2090-2271,NA
almajallat almisriyyat liltajaiur albii,Text in Arabic,2090-228X,NA
catrina,Text in English,1687-5052,2090-2786
the egyptian journal of medical education,Text in English,2090-2816,NA
international journal of software engineering,Text in English,1687-6954,2090-1801
egyptian journal of biological pest control,Text in English,1110-1768,NA
icgst international journal on graphics vision and image processing,Text in English,1687-398X,1687-3998
ain shams engineering journal,Text in English,2090-4479,2090-4495
journal of modern methods in numerical mathematics,Text in English,2090-8296,2090-4770
journal of communications and computer engineering,Text in English,2090-830X,2090-6234
egyptian academic journal of biological sciences h botany,Text in English,2090-3812,2090-3820
the egyptian journal of hospital medicine,Text in English,1687-2002,2090-7125
philology,Text in Multiple languages,1687-4242,NA
international water technology journal,Text in English,2090-5432,2090-5440
egyptian journal of archaeological and restoration studies,Text in English,2090-4932,2090-4940
egyptian journal of pediatric allergy and immunology,Text in English,1687-1642,2314-8934
egyptian journal of forensic sciences,Text in English,2090-536X,2090-5939
hbrc journal,Text in English,1687-4048,2090-9934
journal of basic applied zoology,Text in English,2090-9896,2090-990X
journal of veterinary anatomy,Text in English,1687-9988,NA
journal of basic and applied mycology,Text in English,2090-7583,NA
egyptian journal of sheep and goats sciences,Text in English,2090-0368,2090-0376
acarines journal of the egyptian society of acarology,Text in English,1687-4633,NA
journal of advanced veterinary research,Text in English,2090-6269,2090-6277
transnational broadcasting studies,Text in English,1687-4269,NA
international journal on power engineering and energy,Text in English,2314-730X,2314-7318
journal of advanced studies in topology,Text in English,2090-8288,NA
journal of fractional calculus and applications,Text in English,2090-584X,2090-5858
icgst journal of automatic control and system engineering,Text in English,1687-4811,1687-482X
online journal on computer science and information technology,Text in English,2090-4517,NA
the online journal on mathematics and statistics,Text in English,2090-4509,NA
engineering journal of the military technical college,Text in English,2357-0954,2357-0946
international journal of environmental science and sustainable development,Text in English,2357-0849,2357-0857
journal of ophthalmology and related sciences,Text in English,2090-9047,2536-9466
general union of arab archaeologists journal,Text in English,2536-9830,2536-9822
journal of veterinary medical research,Text in English,2357-0512,2357-0520
research in applied mathematics,Text in English,2357-0474,2357-0482
nuclear sciences scientific journal,Text in English,2314-5609,NA
svu international journal of veterinary sciences,Text in English,2535-1826,2535-1877
egyptian spine journal,Text in English,2314-8969,2314-8950
shedet,Text in English,2356-8704,2536-9954
south valley university international journal of agricultural sciences,Text in English,2636-3801,2636-381X
research in oncology,Text in English,2357-0687,2357-0695
international journal of medical arts,Text in English,2636-4174,2682-3780
new egyptian journal of microbiology,Text in English,1687-1219,NA
microbial biosystems journal,Text in English,2357-0326,2357-0334
microbes and infectious diseases,Text in English,2682-4140,2682-4132
ain shams university archives of pharmaceutical sciences,Text in English,2356-8399,2356-8380
journal of scientific research in science,Text in English,2356-8364,NA
journal of scientific research in education,Text in Arabic,2356-8356,NA
archivesr,Text in English,2537-0154,2537-0162
journal of architecture art and humanistic science,Text in Arabic,2357-0342,2356-9654
journal of applied veterinary sciences,Text in English,1687-4072,2090-3308
sohag engineering journal,Text in English,2735-5888,2735-5896
novel research in microbiology,Text in English,2537-0286,2537-0294
svu international journal of medical sciences,Text in English,2636-3402,2735-427X
misriqiya,Text in French | Text in German | Text in Arabic | Text in English,2682-4116,2682-4124
advanced dental journal,Text in English,2636-302X,2636-3038
international journal of childhood and womens studies,Text in English,2682-4361,2682-437X
international journal of tourism and hospitality management,Text in English,2535-2318,2682-3632
egyptian orthodontic journal,Text in English,1110-435X,2812-5258
msa engineering journal,Text in English,2812-4928,NA
international journal of telecommunications,Text in English,2805-3044,NA
menoufia nursing journal,Text in English,2735-3974,2735-3982
benisuef university international journal of humanities and social sciences,Text in English,2314-8810,2314-8802
journal of bioscience and applied research,Text in English,2356-9182,2356-9174
magallat ulum zawi alihtiyagat alhasah,Text in Arabic,2636-3623,2735-3818
the international journal of informatics media and communication technology,Text in Arabic | Text in English,2682-2105,2682-2881
magallat banisuwaif liulum altarbiyyat albadaniyyat wa alriyyadiyyat,Text in Arabic | Text in English,2536-9881,2536-989X
journal of distance learning and open learning,Text in Arabic | Text in English,2314-8837,2314-8829
journal of urban research,Text in Arabic | Text in English,2090-0694,2682-4515
international journal for tourism archaeology and hospitality,Text in English,2812-6033,2812-6041
magallat kulliyyat altarbiyyat,Text in Arabic,2682-3055,2682-3063
highlights in bioscience,Text in English,2682-4043,NA
aswan university journal of environmental studies,Text in English,2735-4237,2735-4229
ghana journal of science,Text in English,0016-9544,NA
ghana medical journal,Text in English,0016-9560,2616-163X
ghana social science journal,Text in English,0855-4730,NA
university of ghana institute of african studies research review,Text in English,0020-2703,NA
african journal of management research,Text in English,2343-6689,NA
universitas,Text in English,0049-5530,NA
university of ghana law journal,Text in English,0041-9605,NA
asemka,Text in French | Text in English,0855-000X,NA
studia africana,Text in English,0163-2965,NA
historical society of ghana transactions,Text in English,0855-191X,NA
legon journal of the humanities,Text in English,0855-0050,2458-746X
mathematics connection,Text in English,0855-4706,2508-1136
institute of african studies research review,Text in English,0855-4412,NA
journal of applied science and technology,Text in English,0855-2215,NA
ghana science association journal,Text in English,0855-3823,NA
african demography,Text in English,0855-0018,NA
journal of performing arts,Text in English,0855-2606,NA
journal of african christian thought,Text in English,0855-3262,NA
ghana journal of development studies,Text in English,0855-6768,NA
legon journal of sociology,Text in English,0855-6261,NA
national drug information journal,Text in English,0855-6059,NA
journal of medical and biomedical sciences,Text in English,2026-6294,NA
west africa journal of applied ecology,Text in English,0855-4307,NA
agricultural and food science journal of ghana,Text in English,0855-5591,NA
ghana journal of horticulture,Text in English,0855-6350,NA
ghana journal of higher education,Text in English,2343-6948,NA
journal of agriculture and food sciences,Text in English,2026-5204,NA
journal of advocacy research and education,Text in English,2410-4981,2508-1055
journal of arts and social sciences,Text in English,2343-6891,NA
journal of contemporary integrative ideas,Text in English,2343-6565,NA
journal of engineering and technology,Text in English,2026-674X,NA
maranatha university college journal,Text in English,2343-693X,NA
african journal of applied research,Text in English,2408-7920,NA
jocmas,Text in English,2026-5131,NA
international journal of management and scientific research,Text in English,2458-732X,NA
journal of mother tongue biblical hermeneutics,Text in English,2408-798X,NA
african journal of educational studies in mathematics and sciences,Text in English,0855-501X,2508-1128
apt journal of multidisciplinary research,Text in English,2408-7866,NA
dama international journal of researchers,Text in English,2343-6743,NA
ejournal of religious and theological studies,Text in English,2458-7338,NA
international journal of advanced computer technology and management,Text in English,2343-662X,NA
journal of applied sciences arts and theology,Text in English,2508-1160,NA
journal of innovation in education in africa,Text in English,2508-1152,NA
journal of science education and research,Text in English,2408-7912,2508-1144
lancaster university ghana law journal,Text in English,2467-8899,NA
postgraduate medical journal of ghana,Text in English,2026-6790,2343-6921
sunyani polytechnic journal,Text in English,2508-0997,NA
uds international journal of development,Text in English,2026-5336,NA
numid horizon,Text in English,2026-5883,2026-5263
africa journal of food and integrated agriculture,Text in English,2579-0307,NA
ghana international journal of mental health,NA,null,2579-034X
international journal of innovative food science and technology,Text in English,2579-0293,NA
iug journal of humanities and social science,Text in English,2579-0390,NA
the african journal of current medical research,Text in English,2579-0242,NA
journal of interdisciplinary research and innovation,Text in English,2026-5891,NA
ghana journal of education cape coast,Text in English,2579-0382,NA
ghana mining journal,Text in English,0855-210X,2616-1478
ghana journal of technology,Text in English,2467-8910,2616-1486
international journal of irrigation and agricultural development,Text in English,2616-1508,NA
journal of digital psychology simulation sciences,Text in English,2628-5266,NA
african journal of technical education and management,Text in English,2590-9649,NA
ipmp journal of management science,Text in English,2590-9681,NA
agricutural science research journal,Text in English,2026-6073,NA
education research journal,Text in English,2026-6332,NA
information technology research journal,Text in English,2026-6715,NA
business and management research journal,Text in English,2026-6804,NA
orapuh journal,Text in English,2644-3740,NA
ejournal of humanities art and social sciences,Text in English,2720-7722,NA
journal of mothertongue biblical hermeneutics and theology,Text in English,2676-2838,NA
journal of east africa natural history,Text in English,1026-1613,NA
the east african medical journal,Text in English,0012-835X,NA
transafrican journal of history,Text in English,0251-0391,NA
afer,Text in English,0250-4650,NA
kenya past and present,Text in English,0257-8301,NA
our planet,Text in English,1013-7394,NA
kenya nursing journal,Text in English,0301-0333,NA
africa thought and practice,Text in English,0251-043X,NA
kenya national academy of science research papers,Text in English,null,NA
swara,Text in English,1018-6174,NA
scopus,Text in English,0250-4162,2313-1799
medicom,Text in English,0253-0961,NA
the accountant,Text in English,1010-4135,NA
africa media review,Text in French | Text in English,0258-4913,NA
wajibu,Text in English,1016-9717,NA
nairobi law monthly,Text in English,null,NA
africa journal of evangelical theology,Text in English,1026-2946,NA
pachyderm,Text in English,1026-2881,1683-5018
discovery and innovation,Text in English,1015-079X,NA
african journal of health sciences,Text in English,1022-9272,NA
african journal of medical practice,Text in English,1023-8190,NA
kenya birds,Text in English,1023-3679,NA
african journal of science and technology,Text in French | Text in English,1607-9949,NA
kwani,Text in English,null,NA
african journal of food and nutritional security,Text in English,1608-1366,NA
east and central african journal of pharmaceutical sciences,Text in English,1026-552X,NA
african journal of food agriculture nutrition and development,Text in English,1684-5358,1684-5374
east african journal of human rights and democracy,Text in English,1682-900X,1817-4264
african journal of business and economics,Text in English,1990-9217,NA
african journal of oral health sciences,Text in English,1608-7232,NA
mwangaza,Text in English,1814-2753,NA
journal of tropical microbiology and biotechnology,Text in English,1814-7593,1814-7607
journal of agriculture science and technology,Text in English,1561-7645,NA
journal of civil engineering research and practice,Text in English,1729-5769,NA
african journal of agricultural and resource economics,Text in French | Text in English,1993-3738,NA
journal of ophthalmology of eastern central and southern africa,Text in English,2308-6327,1994-6880
egerton journal,Text in English,1021-1128,NA
aicmar bulletin,Text in English,1684-1476,NA
journal of applied biosciences,Text in French | Text in English,1997-5902,NA
pan african medical journal,Text in French | Text in English,1937-8688,NA
journal for language technology entrepreneurship in africa,Text in Swahili | Text in English,1998-1279,NA
thought and practice,Text in English,2076-7714,NA
international journal of business and public management,Text in English,2218-6603,2223-6244
kca journal of business management,Text in English,2071-2162,2072-7992
african journal of public administration and management,Text in English,2222-646X,NA
world applied programming,Text in English,2222-2510,NA
journal of animal and plant sciences,Text in French | Text in English,2071-7024,NA
msingi journal,Text in English,2310-3493,NA
sciafric journal of scientific issues research and essays,Text in English,2311-6188,NA
african research journal of education and social sciences,Text in English,2312-0134,NA
webpub journal of agricultural research,Text in English,2311-9926,NA
webpub journal of scientific research,Text in English,2311-9764,NA
journal of sustainable research in engineering,Text in English,2310-9122,2409-1243
international research journal of scientific findings,Text in English,2312-9603,NA
the pharmaceutical journal of kenya,Text in English,0378-228X,2411-6386
africa journal of physical sciences,Text in English,2313-3317,NA
the african journal of technology,Text in English,1998-9350,2313-5549
african journal of education science and technology,Text in English,2309-9240,NA
capa scientific journal,Text in English,2310-6298,2409-1383
international journal of african and asian studies,Text in English,null,2409-6938
the university of nairobi law journal,Text in English,1998-2976,NA
general health and medical sciences,Text in English,2409-9856,NA
general scientific researches,Text in English,2409-9872,NA
hekima review,Text in English,1019-6188,2410-0234
kabarak journal of research and innovation,Text in English,2305-784X,2410-8383
sciafric journal of educational research and learning techniques,Text in English,2410-6488,NA
international research journal of agricultural and aquatic sciences,Text in English,2411-2895,NA
journal of african canon law studies,Text in English,2311-2794,NA
regional journal of information and knowledge management,Text in English,2412-6535,NA
strathmore law journal,Text in English,2411-5975,2413-7162
journal of environmental sustainability advancement research,Text in English,2409-966X,NA
journal of gender agriculture and food security,Text in English,2413-922X,NA
the strathmore law review,Text in English,2414-8164,2415-5349
african journal of farm and agribusiness management,Text in English,2415-0428,NA
