title;research_area;country;issn;issn2
african journal of agricultural marketing;agriculture - agricultural economics;nigeria;2375-1061;NA
african journal of agricultural research;agriculture;nigeria;1991-637X;NA
african journal of agricultural sciences;agriculture;ethiopia;0253-5955;NA
african journal of agriculture;agriculture;nigeria;2375-1134;NA
african journal of agriculture and environment;agriculture;kenya;2518-0347;NA
african journal of agriculture and food science;agriculture;nigeria;2689-5331;NA
african journal of agriculture and food security;agriculture;nigeria;2375-1177;NA
african journal of agronomy;agriculture;nigeria;2375-1185;NA
african journal of aids and hiv research;medical sciences - communicable diseases;nigeria;2736-1748;NA
african journal of aids research;medical sciences - communicable diseases;south africa;1608-5906;1727-9445
african journal of applied research;humanities: comprehensive works sciences: comprehensive works;ghana;2408-7920;NA
african journal of aquatic science;biology earth sciences - hydrology water resources;south africa;1727-9364;1608-5914
african journal of biblical studies;religions and theology - roman catholic;nigeria;0795-7602;NA
african journal of biochemistry research;biology - biochemistry;nigeria;1996-0778;NA
african journal of biological sciences;biology;south africa;2663-2187;NA
african journal of biology and medical research;biology medical sciences;nigeria;2689-534X;NA
african journal of biotechnology;biology - biotechnology;nigeria;1684-5315;NA
african journal of botany;biology - botany;nigeria;2756-3294;NA
african journal of built environment research;architecture building and construction housing and urban planning;south africa;2414-0236;NA
african journal of business and economics;business and economics;kenya;1990-9217;NA
african journal of business and industry;business and economics - management;rwanda;2413-3213;NA
african journal of business ethics;business and economics - personnel management;south africa;1817-7417;0976-3600
african journal of business management;business and economics - management;nigeria;1993-8233;NA
african journal of career development;occupations and careers;south africa;2709-7420;2617-7471
african journal of cellular pathology;biology - cytology and histology;nigeria;2449-0776;2636-672X
african journal of clinical and experimental immunology;medical sciences - allergology and immunology;south africa;0253-052X;NA
african journal of clinical and experimental microbiology;biology - microbiology;nigeria;1595-689X;NA
african journal of commercial law;law - corporate law;kenya;2706-7661;NA
african journal of computing and ict;communications computers;nigeria;2006-1781;NA
african journal of computing and information systems;computers;kenya;2519-5875;NA
african journal of cooperative development and technology;social sciences: comprehensive works;kenya;2411-6645;NA
african journal of criminal law and jurisprudence;law - criminal law;nigeria;2550-746X;NA
african journal of crop science;agriculture - crop production and soil;nigeria;2375-1231;NA
african journal of crosscultural psychology and sport facilitation;psychology sports and games;nigeria;1119-7056;NA
african journal of dairy farming and milk production;agriculture - dairying and dairy products;nigeria;2375-1258;NA
african journal of dentistry;medical sciences - dentistry;nigeria;2756-3421;NA
african journal of disability;social services and welfare handicapped;south africa;2226-7220;2223-9170
african journal of distance education;education;south africa;2070-8130;NA
african journal of ecology and ecosystems;biology;nigeria;2756-3367;NA
african journal of economic policy;business and economics;nigeria;1116-4875;NA
african journal of economic review;business and economics;tanzania united republic of;null;NA
african journal of economics and sustainable development;business and economics;nigeria;2689-5080;NA
african journal of education and human development;education;kenya;2518-0304;NA
african journal of education and information management;library and information sciences;nigeria;2504-8600;NA
african journal of education and social sciences;education social sciences: comprehensive works;kenya;2415-0770;NA
african journal of education science and technology;education sciences: comprehensive works;kenya;2309-9240;NA
african journal of educational studies in mathematics and sciences;education sciences: comprehensive works;ghana;0855-501X;2508-1128
african journal of engineering it and telecommunication research;communications engineering;kenya;2518-0339;NA
african journal of engineering research;engineering;nigeria;2354-2144;NA
african journal of environment and natural science research;environmental studies;nigeria;2689-9434;NA
african journal of environmental and waste management;environmental studies - waste management;nigeria;2375-1266;NA
african journal of environmental assessment and management;environmental studies - toxicology and environmental safety environmental studies - waste management;ghana;1436-7890;NA
african journal of environmental economics and management;environmental studies business and economics;nigeria;2375-0707;NA
african journal of environmental science and technology;environmental studies;nigeria;1996-0786;NA
african journal of estate and property management;law - estate planning;nigeria;2756-3308;NA
african journal of farm and agribusiness management;agriculture;kenya;2415-0428;NA
african journal of finance and management;business and economics insurance;tanzania united republic of;0856-6372;NA
african journal of fisheries science;fish and fisheries;nigeria;2375-0715;NA
african journal of food agriculture nutrition and development;food and food industries nutrition and dietetics;kenya;1684-5358;1684-5374
african journal of food and nutritional security;nutrition and dietetics;kenya;1608-1366;NA
african journal of food science;food and food industries nutrition and dietetics;nigeria;1996-0794;NA
african journal of food science and technology;food and food industries;nigeria;2141-5455;NA
african journal of food science research;food and food industries;nigeria;2375-0723;NA
african journal of gender and women studies;women's studies;nigeria;2736-1578;NA
african journal of genetics;biology - genetics;nigeria;0795-6762;NA
african journal of geography and regional planning;geography;nigeria;2736-1586;NA
african journal of governance and development;business and economics political science sociology;mozambique;2218-5615;2616-9045
african journal of health economics;public health and safety;nigeria;2006-4802;2504-8686
african journal of health information systems;medical sciences;kenya;2415-5268;NA
african journal of health nursing and midwifery;medical sciences - obstetrics and gynecology;nigeria;2689-9418;NA
african journal of health professions education;education medical sciences;south africa;2078-5127;NA
african journal of health sciences;medical sciences;kenya;1022-9272;NA
african journal of history and archaeology;archaeology history - history of africa;nigeria;2695-1851;2579-048X
african journal of history and culture;anthropology history - history of africa;nigeria;2141-6672;NA
african journal of hospitality tourism and leisure;hotels and restaurants travel and tourism;south africa;2223-814X;NA
african journal of humanities and social sciences;social sciences: comprehensive works;south africa;2789-3413;NA
african journal of immunology research;medical sciences - allergology and immunology;nigeria;2756-3375;NA
african journal of infectious diseases;medical sciences - communicable diseases;nigeria;2006-0165;2505-0419
african journal of infectious diseases research;medical sciences - communicable diseases;nigeria;2756-3340;NA
african journal of intermultidisciplinary studies;humanities: comprehensive works social sciences: comprehensive works;south africa;2663-4589;2663-4597
african journal of internal medicine;medical sciences - internal medicine;nigeria;2326-7283;NA
african journal of international affairs;political science - international relations;senegal;0850-7902;NA
african journal of international affairs development;political science - international relations;nigeria;1117-272X;NA
african journal of laboratory medicine;pharmacy and pharmacology;south africa;2225-2010;2225-2002
african journal of law political research and administration;law political science;nigeria;2689-5102;NA
african journal of library and information science;library and information sciences;nigeria;2756-3383;NA
african journal of library archives and information science;library and information sciences;nigeria;0795-4778;NA
african journal of livestock extension;agriculture - poultry and livestock;nigeria;1596-4019;NA
african journal of malaria and tropical diseases;medical sciences - communicable diseases;nigeria;2736-173X;NA
african journal of management research;business and economics - management;ghana;2343-6689;NA
african journal of marine science;fish and fisheries;south africa;1814-232X;1814-2338
african journal of marketing management;business and economics - marketing and purchasing;nigeria;2141-2421;NA
african journal of mathematics and computer science research;mathematics - computer applications;nigeria;2006-9731;NA
african journal of mathematics and statistics studies;mathematics;nigeria;2689-5323;NA
african journal of media and communication studies;sociology;kenya;2518-0320;NA
african journal of medical case reports;medical sciences;nigeria;2756-3316;NA
african journal of medical practice;medical sciences;kenya;1023-8190;NA
african journal of medicine and health sciences research;medical sciences;kenya;2518-0355;NA
african journal of medicine and surgery;medical sciences;nigeria;2756-3324;NA
african journal of medicine medical sciences new series;medical sciences;nigeria;1116-4077;NA
african journal of microbiology research;biology - microbiology;nigeria;1996-0808;NA
african journal of microfinance and enterprise development;business and economics - small business;nigeria;2360-7726;NA
african journal of nephrology;medical sciences - urology and nephrology;south africa;2306-8205;2518-4601
african journal of nursing and midwifery;medical sciences - nurses and nursing medical sciences - obstetrics and gynecology;nigeria;2756-3332;NA
african journal of oral health sciences;medical sciences - dentistry;kenya;1608-7232;NA
african journal of paediatric nephrology;medical sciences - pediatrics medical sciences - urology and nephrology;nigeria;2488-9075;NA
african journal of paediatrics;medical sciences - pediatrics;nigeria;2354-4325;NA
african journal of parasitology research;medical sciences - communicable diseases;nigeria;2756-3391;NA
african journal of peace and human security;political science - international relations;nigeria;2504-8872;NA
african journal of pedagogy and curriculum;education;south africa;2309-4648;NA
african journal of pharmaceutical sciences;pharmacy and pharmacology;south africa;2789-5092;NA
african journal of pharmacy and pharmaceutical sciences;pharmacy and pharmacology;nigeria;0044-6564;NA
african journal of pharmacy biology and medical science;biology medical sciences pharmacy and pharmacology;ethiopia;2312-9549;NA
african journal of philosophy and religious studies;philosophy religions and theology;nigeria;2756-3405;NA
african journal of physiotherapy and rehabilitation sciences;medical sciences - physical medicine and rehabilitation;nigeria;2141-8322;NA
african journal of pig farming;agriculture - poultry and livestock;nigeria;2375-0731;NA
african journal of plant breeding;biology - botany biology - genetics;nigeria;2375-074X;NA
african journal of plant science;biology - botany;nigeria;1996-0824;NA
african journal of political science;political science;nigeria;1027-0353;1726-3727
african journal of political science and international relations;political science political science - international relations;nigeria;1996-0832;NA
african journal of poultry farming;agriculture - poultry and livestock;nigeria;2375-0863;NA
african journal of primary health care family medicine;medical sciences;south africa;2071-2928;2071-2936
african journal of project planning and management;business and economics - management;kenya;2306-594X;NA
african journal of psychiatry;medical sciences - psychiatry and neurology;south africa;1994-8220;NA
african journal of psychological assessment;psychology;south africa;2617-2798;NA
african journal of public administration and management;business and economics - management public administration;kenya;2222-646X;NA
african journal of pure and applied chemistry;chemistry;nigeria;1996-0840;NA
african journal of range forage science;agriculture - crop production and soil biology - botany conservation;south africa;1022-0119;1727-9380
african journal of reproductive health;women's health;nigeria;1118-4841;NA
african journal of rural development;agriculture - agricultural economics;uganda;2415-2838;NA
african journal of science and nature;sciences: comprehensive works;nigeria;2536-6904;NA
african journal of science and research;sciences: comprehensive works;zambia;2306-5877;NA
african journal of science and technology;sciences: comprehensive works technology: comprehensive works;kenya;1607-9949;NA
african journal of science and technology series a technology;technology: comprehensive works;kenya;1010-5263;NA
african journal of science and technology series b basic sciences;sciences: comprehensive works;kenya;1010-5271;NA
african journal of science and technology series c general;sciences: comprehensive works;kenya;null;NA
african journal of social sciences;social sciences: comprehensive works;nigeria;null;NA
african journal of social sciences and humanities research;social sciences: comprehensive works;nigeria;2689-5129;NA
african journal of soil science;agriculture - crop production and soil;nigeria;2375-088X;NA
african journal of special and inclusive education;education - special education and rehabilitation;malawi;2521-8239;2521-8131
african journal of sustainable development;business and economics;nigeria;2315-6317;NA
african journal of technical education and management;education - teaching methods and curriculum engineering sciences: comprehensive works;ghana;2590-9649;NA
african journal of theory and practice of educational assessment;education - school organization and administration;nigeria;2545-5834;NA
african journal of thoracic and critical care medicine;medical sciences - respiratory diseases;south africa;2617-0191;2617-0205
african journal of traditional complementary and alternative medicines;medical sciences;nigeria;0189-6016;2505-0044
african journal of transformational scholarship;education - higher education;tanzania united republic of;1821-9683;NA
african journal of tropical agriculture;agriculture;nigeria;2375-091X;NA
african journal of tropical hydrobiology and fisheries;biology fish and fisheries;uganda;0002-0036;NA
african journal of virology research;biology - microbiology;nigeria;2756-3413;NA
african journal of water conservation and sustainability;water resources;nigeria;2375-0936;NA
african journal of wildlife research;biology - zoology conservation;south africa;2410-8200;2410-7220
african journal of wood science and forestry;forests and forestry;nigeria;2375-0979;NA
african journal on conflict resolution;political science - international relations;south africa;1562-6997;2309-737X
african journal on land policy and geospatial sciences;geography public administration;morocco;2657-2664;NA
african livestock research;agriculture - poultry and livestock;ethiopia;1013-7750;NA
african multidisciplinary journal of research;humanities: comprehensive works;kenya;2518-2978;2518-2986
african music;music;south africa;2524-2741;0065-4019
african natural history;anthropology archaeology biology paleontology;south africa;1816-8396;2305-7963
african nebula;literature;nigeria;null;1837-7963
african notes;ethnic interests;nigeria;0002-0087;NA
african perspectives of research in teaching and learning;education;south africa;2521-0262;NA
african plant protection;biology - botany;south africa;1023-3121;2309-3811
african public procurement law journal;law;south africa;2411-7048;NA
african research journal of education and social sciences;education social sciences: comprehensive works;kenya;2312-0134;NA
african research review;education;ethiopia;1994-9057;2070-0083
african social research;social sciences: comprehensive works;zambia;0002-0168;NA
african social science and humanities journal;humanities: comprehensive works;south africa;2709-1309;2709-1317
african sociological review;sociology;senegal;1027-4332;NA
african studies;abstracting and indexing services history - history of north and south america anthropology - abstracting bibliographies statistics history - abstracting bibliographies statistics political science - abstracting bibliographies statistics;south africa;1025-4528;NA
african technology development forum journal;business and economics business and economics - international commerce;zambia;1817-2008;NA
african vision and eye health;medical sciences - ophthalmology and optometry;south africa;2413-3183;2410-1516
african yearbook of rhetoric;literature;south africa;2305-7785;2220-2188
african yearbook on international humanitarian law;law - international law;south africa;1997-8391;2521-2621
africana research bulletin;social sciences: comprehensive works ethnic interests;sierra leone;0259-9651;NA
africana society journal;history - history of africa;south africa;null;NA
africana society yearbook;history - history of africa;south africa;0379-6574;NA
africanus;political science;south africa;0304-615X;NA
africas public service delivery and peformance review;public administration;south africa;2310-2195;2310-2152
africom;communications;kenya;null;NA
afrimedic journal;medical sciences;nigeria;2141-162X;NA
afring news online;biology - ornithology;south africa;2222-341X;NA
afro arab journal of voiding dysfunction;medical sciences - urology and nephrology;egypt arab republic of egypt;2090-0910;NA
afro asian journal of science and technology;sciences: comprehensive works;south africa;2312-7465;NA
agence pour la securite de la navigation aerienne en afrique et a madagascar direction de lexploitation meteorologique publications serie 1;meteorology;senegal;0065-4248;NA
agence pour la securite de la navigation aerienne en afrique et a madagascar direction de lexploitation meteorologique publications serie 2;meteorology;senegal;0084-6015;NA
agenda abingdon;political science - civil rights women's studies;south africa;null;NA
agogo;humanities: comprehensive works;nigeria;2536-6890;NA
agricultural and bionutritional research;agriculture;nigeria;2476-7913;NA
agricultural and food science journal of ghana;agriculture;ghana;0855-5591;NA
agricultural economics bulletin for africa;agriculture - agricultural economics;ethiopia;0065-4434;NA
agricultural engineering in south africa;agriculture - agricultural equipment agriculture - crop production and soil;south africa;0379-6604;NA
agricutural science research journal;agriculture;ghana;2026-6073;NA
agrobiologia;agriculture;algeria;2170-1652;2507-7627
agroscience journal of tropical agriculture food environmental and extension;agriculture environmental studies;nigeria;1119-7455;NA
agrosearch;agriculture;nigeria;1117-9996;2467-8694
ahfad journal;political science - international relations women's studies;sudan;0255-4070;NA
ahmadu bello university centre of islamic legal studies journal;religions and theology - islamic;nigeria;0065-468X;NA
ahmadu bello university department of geography occasional paper;geography;nigeria;0065-4698;NA
ahmadu bello university institute for agricultural research soil survey bulletin;agriculture - crop production and soil;nigeria;0065-4728;NA
ahmadu bello university northern history research scheme interim report;history - history of africa;nigeria;null;NA
aicmar bulletin;religions and theology - other denominations and sects;kenya;1684-1476;NA
ain shams dental journal;medical sciences - dentistry;egypt arab republic of egypt;1110-7642;NA
ain shams engineering journal;engineering;egypt arab republic of egypt;2090-4479;2090-4495
ain shams medical journal;medical sciences;egypt arab republic of egypt;0002-2144;NA
ain shams university archives of pharmaceutical sciences;pharmacy and pharmacology;egypt arab republic of egypt;2356-8399;2356-8380
ain shams university economic and business review;business and economics;egypt arab republic of egypt;1110-1008;NA
ain shams university faculty of arts annals;art literature;egypt arab republic of egypt;1110-7227;NA
ain shams university faculty of education journal literary section;literature;egypt arab republic of egypt;null;NA
ain shams university faculty of education journal scientific section;sciences: comprehensive works;egypt arab republic of egypt;1110-7634;NA
ain shams university faculty of education journal section a mathematics physics;mathematics physics;egypt arab republic of egypt;1110-1296;NA
ain shams university faculty of education journal section b chemistry biology;biology chemistry;egypt arab republic of egypt;null;NA
akofena;linguistics literature;cote divoire;2708-0633;2706-6312
akroterion;classical studies;south africa;2079-2883;0303-1896
akwapoly journal of communication and scientific research;technology: comprehensive works;nigeria;2616-0773;2536-7633
al athar;linguistics literature;algeria;1112-3672;NA
al azhar bulletin of science basic science sector botany and zoology;biology - botany biology - zoology;egypt arab republic of egypt;2090-1593;NA
al azhar bulletin of science basic science sector chemistry;chemistry;egypt arab republic of egypt;2090-1607;NA
al azhar bulletin of science basic science sector geology;earth sciences - geology;egypt arab republic of egypt;2090-1615;NA
al azhar bulletin of science basic science sector physics mathematics and astronomy;astronomy mathematics physics;egypt arab republic of egypt;2090-1623;NA
al azhar journal of dental science;medical sciences - dentistry;egypt arab republic of egypt;1110-6751;NA
al azhar journal of microbiology;biology - microbiology;egypt arab republic of egypt;1110-1601;NA
al azhar journal of pediatrics;medical sciences - pediatrics;egypt arab republic of egypt;1110-7774;NA
al azhar journal of pharmaceutical sciences;pharmacy and pharmacology;egypt arab republic of egypt;1110-1644;NA
al azhar medical journal;medical sciences;egypt arab republic of egypt;1110-0400;NA
al dirasat waalbuhuth altigariyyat;business and economics;egypt arab republic of egypt;1110-1547;NA
al ilm;religions and theology - islamic;south africa;0258-932X;NA
al insaf;history - history of africa history - history of the near east;libyan arab jamahiriya;null;NA
al magallat alilmiyyat liulum altarbiyyat albadaniyyat waalriyyadiyyat;education - higher education physical fitness and hygiene;egypt arab republic of egypt;1687-7292;NA
al magallat almisriyyat lildirasat altigariyyat;business and economics - management;egypt arab republic of egypt;1110-2284;NA
al magallat alqanuniyyat aliqtisadiyyat;business and economics law;egypt arab republic of egypt;1110-6964;NA
al majallah attunisiyyah lillughat alhayyah;linguistics;tunisia;null;NA
al minia science bulletin geology section;earth sciences - geology;egypt arab republic of egypt;1687-5133;NA
al minia science bulletin mathematics section;mathematics;egypt arab republic of egypt;1687-5141;NA
al minia science bulletin physics section;physics;egypt arab republic of egypt;1110-2462;NA
al minia science bulletin section botany;sciences: comprehensive works;egypt arab republic of egypt;1110-2454;NA
al minia science bulletin zoology section;biology - zoology;egypt arab republic of egypt;1687-5125;NA
al minya science bulletin computer science section;computers;egypt arab republic of egypt;1687-515X;NA
al qanun waal iqtisad;business and economics law;egypt arab republic of egypt;0304-2324;NA
al shahid;history - history of africa history - history of the near east;libyan arab jamahiriya;null;NA
al siassa aldawlya;political science - international relations;egypt arab republic of egypt;0583-4597;NA
al wathaiq walmakhtutat;history - history of africa history - history of the near east;libyan arab jamahiriya;null;NA
alazhar journal of agricultural sciences sector research;agriculture;egypt arab republic of egypt;1687-8698;NA
alazhar university engineering sector journal;engineering;egypt arab republic of egypt;1687-8418;NA
alc monographs;political science;kenya;2312-9107;NA
aleph;linguistics;algeria;2437-0274;2437-1076
alexandria dental journal;medical sciences - dentistry;egypt arab republic of egypt;1110-015X;NA
alexandria engineering journal;engineering;egypt arab republic of egypt;1110-0168;2090-2670
alexandria journal of agricultural research;agriculture biology - botany gardening and horticulture;egypt arab republic of egypt;0044-7250;NA
alexandria journal of pharmaceutical sciences;pharmacy and pharmacology;egypt arab republic of egypt;1110-1792;NA
alexandria journal of veterinary sciences;veterinary science;egypt arab republic of egypt;1110-2047;2536-9520
alexandria medical journal;medical sciences;egypt arab republic of egypt;1110-0060;NA
alexandria science exchange;sciences: comprehensive works;egypt arab republic of egypt;1110-0176;2536-9784
algerian business performance review;business and economics;algeria;1938-2170;NA
algerian journal of arid environment;environmental studies;algeria;2170-1318;NA
algerian journal of engineering architecture and urbanism;engineering - civil engineering housing and urban planning;algeria;2588-1760;NA
algerian journal of health sciences;medical sciences;algeria;2710-8082;2716-9464
algerian journal of natural products;agriculture;algeria;2353-0391;NA
algerian journal of renewable energy and sustainable development;environmental studies energy;algeria;2710-849X;NA
algerie equipement online;engineering - civil engineering;algeria;2716-7801;NA
alhikmah journal of history and international relations;sociology;nigeria;2465-7336;NA
alhikmah journal of pure and applied sciences;sciences: comprehensive works;nigeria;2488-8834;NA
alhikmah management review;business and economics - management;nigeria;2504-9380;NA
alhitab;linguistics;algeria;1112-7082;2602-5310
alhiwar almutawasiti;social sciences: comprehensive works;algeria;1112-945X;2571-9742
alif;literature literature - poetry;egypt arab republic of egypt;1110-8673;NA
allqtisaed waalmugtama;business and economics - economic situation and conditions business and economics - economic systems and theories economic history;morocco;0851-0474;NA
almagallat alafriqiyat lilulum alsiyasiyat;political science;algeria;2661-7323;2661-7617
almagallat aligtimaiyyat alqawmiyyat;criminology and law enforcement social sciences: comprehensive works;egypt arab republic of egypt;0028-0062;NA
almajallat almisriyyat liltajaiur albii;environmental studies;egypt arab republic of egypt;2090-228X;NA
almukhtar journal of sciences;sciences: comprehensive works;libyan arab jamahiriya;2617-2186;2617-2178
aloe;biology - botany;south africa;0002-6301;NA
altaqat alsamsiyyat waaltanmiyyat almustadamat;energy - solar energy;libyan arab jamahiriya;2411-9636;NA
alternation;literature;south africa;1023-1757;2519-5476
alternatives rurales;agriculture;morocco;2421-8928;2421-9037
anatomiese vereniging van suiderafrika kongresverrigtinge;biology - physiology medical sciences;south africa;null;NA
animal health research centre annual report;veterinary science;uganda;null;NA
animal production research advances;agriculture - poultry and livestock;nigeria;0794-4721;NA
animal research international;biology - zoology;nigeria;1597-3115;NA
annales africaines de medecine;medical sciences;congo;2309-5784;2313-3589
annales de la recherche forestiere au maroc;forests and forestry;morocco;0483-8009;NA
annales des mines et de la geologie;earth sciences - geology;tunisia;0365-4397;NA
annales des sciences agronomiques du benin;agriculture;benin;1659-5009;NA
annales des sciences et technologie;sciences: comprehensive works technology: comprehensive works;algeria;2170-0672;NA
annales dethiopie;archaeology;ethiopia;0066-2127;2077-0820
annales islamologiques;asian studies religions and theology - islamic;egypt arab republic of egypt;0570-1716;NA
annals of agricultural science;agriculture;egypt arab republic of egypt;0570-1783;2090-8377
annals of agricultural science moshtohor;agriculture;egypt arab republic of egypt;1110-0419;NA
annals of biomedical sciences;medical sciences biology - bioengineering;nigeria;1596-6569;NA
annals of borno;history - history of africa;nigeria;0189-2207;NA
annals of clinical sciences;medical sciences;nigeria;2545-5419;NA
annals of health research;public health and safety medical sciences;nigeria;2536-6149;2476-8642
