title.x;issn.x;issn2.x;is_ajol;is_crossref;is_dimensions;is_scopus;is_wos;is_ulrich;language1;language2;language3;language
african entomology;NA;2224-8854;0;1;1;1;1;1;NA;English;NA;English
african finance journal;NA;1605-9786;0;0;0;1;0;0;NA;NA;English;English
african association of physiological sciences journal;2315-9987;2449-108X;1;0;0;0;0;1;English;NA;NA;English
african journal of agricultural research;1991-637X;NA;0;1;1;0;1;0;English;English;NA;English
african human rights law journal;1609-073X;1996-2096;0;1;1;1;0;1;English;NA;NA;English
african invertebrates;NA;1681-5556;0;1;1;1;1;0;NA;Multi-Language;NA;Multi-Language
african journal of agricultural and resource economics;1993-3738;NA;0;1;1;1;1;1;French;Multi-Language;NA;Multi-Language
african journal of agricultural and resource economics;1993-3738;NA;0;1;1;1;1;1;NA;Multi-Language;NA;Multi-Language
african journal of agricultural and resource economics;1993-3738;NA;0;1;1;1;1;1;English;Multi-Language;NA;Multi-Language
african journal of disability;2226-7220;2223-9170;0;1;1;1;1;1;English;English;NA;English
african crop science journal;1021-9730;NA;1;1;1;0;0;1;English;NA;NA;English
african journal of emergency medicine;2211-419X;2211-4203;0;1;1;1;0;0;NA;NA;English;English
african journal of emergency medicine;2211-419X;2211-4203;0;1;1;1;0;0;NA;NA;NA;NA
african journal of emergency medicine;2211-419X;2211-4203;0;1;1;1;0;0;NA;NA;French;French
african health sciences;1680-6905;1729-0503;1;1;1;1;1;1;English;English;NA;English
african journal of hospitality tourism and leisure;2223-814X;NA;0;0;1;1;0;1;English;NA;NA;English
african human mobility review;2410-7972;NA;1;1;1;0;0;1;English;NA;NA;English
african journal of laboratory medicine;2225-2010;2225-2002;0;1;1;1;1;1;English;English;NA;English
african journal for physical activity and health sciences;2411-6939;NA;1;1;1;0;0;1;English;NA;NA;English
african journal of accounting and social science studies;2591-6815;NA;1;0;0;0;0;0;NA;NA;English;English
african journal of primary health care family medicine;2071-2928;2071-2936;0;1;1;1;1;1;English;English;NA;English
african journal of aids research;1727-9445;1608-5906;1;1;1;0;1;1;English;NA;NA;English
african journal of anaesthesia and intensive care;0794-2184;NA;1;1;1;0;0;0;NA;NA;English;English
african journal of thoracic and critical care medicine;2617-0205;2617-0191;0;1;1;1;0;1;English;NA;NA;English
african journal of wildlife research;2410-8200;2410-7220;0;1;1;1;1;1;NA;English;NA;English
african review of physics;NA;2223-6589;0;0;0;1;0;0;NA;NA;NA;NA
ain shams engineering journal;2090-4479;2090-4495;0;1;1;1;1;1;English;English;NA;English
alexandria engineering journal;2090-2670;1110-0168;0;1;1;1;1;1;English;English;NA;English
alif;1110-8673;NA;0;0;1;1;0;1;French;NA;NA;French
alif;1110-8673;NA;0;0;1;1;0;1;NA;NA;NA;NA
alif;1110-8673;NA;0;0;1;1;0;1;Arabic;NA;NA;Arabic
alif;1110-8673;NA;0;0;1;1;0;1;English;NA;NA;English
anemia;2090-1275;2090-1267;0;1;1;1;0;0;NA;NA;English;English
anesthesiology research and practice;1687-6970;1687-6962;0;1;1;1;0;0;NA;NA;English;English
anesthesiology research and practice;1687-6970;1687-6962;0;1;1;1;0;0;NA;NA;NA;NA
anesthesiology research and practice;1687-6970;1687-6962;0;1;1;1;0;0;NA;NA;French;French
annals of agricultural science;0570-1783;2090-8377;0;0;1;1;1;1;English;English;NA;English
applied bionics and biomechanics;1754-2103;1176-2322;0;1;1;1;1;0;NA;English;NA;English
applied computational intelligence and soft computing;1687-9732;1687-9724;0;1;1;1;0;0;NA;NA;English;English
arabian journal of medicinal and aromatic plants;2458-5920;NA;0;0;0;1;0;1;French;NA;NA;French
arabian journal of medicinal and aromatic plants;2458-5920;NA;0;0;0;1;0;1;NA;NA;NA;NA
arabian journal of medicinal and aromatic plants;2458-5920;NA;0;0;0;1;0;1;English;NA;NA;English
autoimmune diseases;2090-0422;2090-0430;0;1;1;1;0;0;NA;NA;English;English
bulletin de linstitut scientifique section sciences de la terre;NA;1114-6834;0;0;0;1;0;0;NA;NA;NA;NA
bulletin of pharmaceutical sciences;1110-0052;NA;0;0;1;1;0;1;English;NA;NA;English
canadian journal of gastroenterology and hepatology;2291-2789;2291-2797;0;1;1;1;0;0;NA;NA;English;English
canadian journal of infectious diseases and medical microbiology;1918-1493;1712-9532;0;1;1;1;0;0;NA;NA;English;English
canadian respiratory journal;1916-7245;1198-2241;0;1;1;1;0;0;NA;NA;English;English
cardiovascular journal of africa;1996-3467;1995-1892;0;1;1;1;1;1;English;English;NA;English
case reports in psychiatry;2090-6838;2090-682X;0;1;1;1;0;0;NA;NA;English;English
african journal of applied research;2408-7920;NA;1;1;1;0;0;0;English;NA;English;English
critical care research and practice;2090-1313;2090-1305;0;1;1;1;0;0;NA;NA;English;English
curationis;0379-8577;2223-6279;0;1;1;1;0;1;Afrikaans;NA;NA;Afrikaans
curationis;0379-8577;2223-6279;0;1;1;1;0;1;NA;NA;NA;NA
curationis;0379-8577;2223-6279;0;1;1;1;0;1;English;NA;NA;English
depression research and treatment;2090-133X;2090-1321;0;1;1;1;0;0;NA;NA;English;English
dermatology research and practice;1687-6105;1687-6113;0;1;1;1;0;0;NA;NA;English;English
disease markers;1875-8630;0278-0240;0;1;1;1;0;0;NA;NA;English;English
education as change;1682-3206;1947-9417;0;1;1;1;1;0;NA;English;NA;English
egyptian heart journal;1110-2608;2090-911X;0;1;1;1;1;0;NA;English;NA;English
egyptian journal of aquatic biology and fisheries;1110-6131;2536-9814;0;1;1;1;0;1;English;NA;NA;English
african journal of aquatic science;1727-9364;1608-5914;1;1;1;0;1;1;NA;English;NA;English
egyptian journal of aquatic research;2090-3278;1687-4285;0;0;0;1;1;0;NA;English;NA;English
egyptian journal of archaeological and restoration studies;2090-4932;2090-4940;0;1;1;1;1;0;English;English;NA;English
egyptian journal of biological pest control;1110-1768;2536-9342;0;1;1;1;1;1;English;English;NA;English
egyptian journal of botany;0375-9237;2357-0350;0;1;1;1;1;0;NA;Multi-Language;NA;Multi-Language
egyptian journal of chemistry;NA;0449-2285;0;1;1;1;1;0;NA;English;NA;English
african journal of biomedical research;1119-5096;NA;1;1;1;0;0;0;NA;NA;NA;NA
egyptian journal of ear nose throat and allied sciences;2090-0740;2090-3405;0;1;1;1;0;1;English;NA;NA;English
african journal of biotechnology;1684-5315;NA;1;1;1;0;1;0;English;English;NA;English
african journal of chemical education;2227-5835;NA;1;0;0;0;0;0;NA;NA;English;English
african journal of clinical and experimental microbiology;1595-689X;NA;1;1;1;0;0;0;English;NA;English;English
egyptian journal of petroleum;1110-0621;2090-2468;0;1;1;1;0;1;English;NA;NA;English
egyptian journal of radiology and nuclear medicine;2090-4762;0378-603X;0;1;1;1;0;0;NA;NA;NA;NA
african journal of business ethics;1817-7417;0976-3600;0;1;1;0;1;1;English;English;NA;English
egyptian journal of remote sensing and space sciences;1110-9823;2090-2476;0;0;1;1;1;1;English;English;NA;English
international journal of advanced engineering and global technology;2309-4893;NA;0;0;0;0;0;1;English;NA;NA;English
african journal of science and research;2306-5877;NA;0;0;0;0;0;1;English;NA;NA;English
african journal of business management;1993-8233;NA;0;1;1;0;1;0;English;English;NA;English
koers;2304-8557;0023-270X;0;0;0;0;0;1;Afrikaans;NA;NA;Afrikaans
koers;2304-8557;0023-270X;0;0;0;0;0;1;English;NA;NA;English
african journal of drug and alcohol studies;1531-4065;NA;1;1;1;1;0;0;NA;NA;NA;NA
journal of african real estate research;2304-8395;NA;0;1;1;0;0;1;English;NA;NA;English
african journal of economic review;2453-5958;NA;1;0;0;0;0;1;English;NA;NA;English
revue medicale des grandlacs;2304-0149;2304-0173;0;0;0;0;0;1;French;NA;NA;French
revue medicale des grandlacs;2304-0149;2304-0173;0;0;0;0;0;1;NA;NA;NA;NA
revue medicale des grandlacs;2304-0149;2304-0173;0;0;0;0;0;1;English;NA;NA;English
journal of fractional calculus and applications;2090-584X;2090-5858;0;0;0;0;0;1;English;NA;NA;English
international society for telemedicine and ehealth journal;2308-0310;NA;0;0;0;0;0;1;English;NA;NA;English
yesterday and today;2309-9003;2223-0386;0;1;1;0;0;1;English;NA;NA;English
african journal of educational studies in mathematics and sciences;0855-501X;2508-1128;1;1;1;0;0;1;English;NA;NA;English
mediterranean journal of chemistry;2028-3997;NA;0;1;1;0;0;1;French;NA;NA;French
african journal of empirical research;2709-2607;NA;1;1;1;0;0;0;NA;NA;NA;NA
international journal of veterinary science;2304-3075;2305-4360;0;1;1;0;0;1;English;NA;NA;English
african journal of environmental science and technology;1996-0786;NA;1;1;1;0;0;0;English;NA;English;English
african journal of food agriculture nutrition and development;1684-5358;1684-5374;1;0;1;1;0;1;English;NA;NA;English
african evaluation journal;2310-4988;2306-5133;0;1;1;0;0;1;English;NA;NA;English
africas public service delivery and peformance review;2310-2195;2310-2152;0;1;1;0;0;1;English;NA;NA;English
etude de la population africaine;0850-5780;2308-7854;0;1;1;1;0;1;French;NA;NA;French
etude de la population africaine;0850-5780;2308-7854;0;1;1;1;0;1;NA;NA;NA;NA
etude de la population africaine;0850-5780;2308-7854;0;1;1;1;0;1;English;NA;NA;English
hbrc journal;1687-4048;2090-9934;0;1;1;0;0;1;English;NA;NA;English
journal of basic applied zoology;2090-9896;2090-990X;0;1;1;0;0;1;English;NA;NA;English
african journal of gastroenterology and hepatology;2735-5489;2735-5497;1;1;1;0;0;0;NA;NA;English;English
african journal of gastroenterology and hepatology;2735-5489;2735-5497;1;1;1;0;0;0;NA;NA;NA;NA
african journal of gastroenterology and hepatology;2735-5489;2735-5497;1;1;1;0;0;0;NA;NA;French;French
african journal of health professions education;2078-5127;NA;1;1;1;0;1;1;English;English;NA;English
journal of business and public dynamics for development;2305-9338;NA;0;0;0;0;0;1;English;NA;NA;English
african journal of herpetology;2156-4574;2153-3660;0;1;1;0;1;0;NA;English;NA;English
journal of advanced veterinary research;2090-6269;2090-6277;0;0;0;0;0;1;English;NA;NA;English
african journal of health sciences;1022-9272;NA;1;1;1;0;0;1;English;NA;NA;English
journal of agriculture forestry and the social sciences;1597-0906;NA;0;0;1;0;0;1;English;NA;NA;English
african journal of infectious diseases;2006-0165;2505-0419;1;1;1;1;0;1;English;NA;NA;English
african journal of library archives and information science;0795-4778;NA;1;0;0;1;1;1;English;English;NA;English
african journal of livestock extension;1596-4019;NA;1;0;0;0;0;0;English;NA;NA;English
african journal of management research;NA;2458-7435;1;1;0;0;0;1;English;NA;NA;English
african journal of marine science;1814-232X;1814-2338;1;1;1;1;1;1;English;English;NA;English
niles journal for geriatric and gerontology;2636-3224;2636-3232;0;1;1;0;0;1;NA;NA;NA;NA
ain shams journal of forensic medicine and clinical toxicology;1687-1030;2636-3356;0;1;1;0;0;1;NA;NA;NA;NA
international business logistics journal;2735-5950;2735-5969;0;1;1;0;0;1;NA;NA;NA;NA
tanta scientific nursing journal;2314-5595;2735-5519;0;1;1;0;0;1;NA;NA;NA;NA
records of pharmaceutical and biomedical sciences;2536-9857;2535-2091;0;1;1;0;0;1;NA;NA;NA;NA
assiut scientific nursing journal;2314-8845;2682-3799;0;1;1;0;0;1;NA;NA;NA;NA
port said scientific journal of nursing;2356-8658;2682-3241;0;1;1;0;0;1;NA;NA;NA;NA
scientific journal of flowers and ornamental plants;2356-7864;2536-9296;0;1;1;0;0;1;NA;NA;NA;NA
alfarama journal of basic applied sciences;2682-275X;NA;0;0;0;0;0;1;NA;NA;NA;NA
interdisciplinary journal of education;2616-9088;2616-9096;0;1;1;0;0;1;NA;NA;NA;NA
advanced research in conservation science;2682-3454;2682-3462;0;1;1;0;0;1;NA;NA;NA;NA
tasambo journal of language literature and culture;2782-8182;NA;0;0;0;0;0;1;NA;NA;NA;NA
medical journal of viral hepatitis;2314-8748;2314-8756;0;1;1;0;0;1;NA;NA;NA;NA
minia journal of medical research;2682-4558;NA;0;0;1;0;0;1;NA;NA;NA;NA
svu international journal of engineering sciences and applications;2735-4571;2785-9967;0;0;0;0;0;1;NA;NA;NA;NA
egyptian journal of medical research;2682-440X;2682-4396;0;1;1;0;0;1;NA;NA;NA;NA
traduction et langues;1112-3974;2600-6235;0;0;0;0;0;1;NA;NA;NA;NA
new valley journal of agricultural science;2805-2439;2805-2420;0;1;1;0;0;1;NA;NA;NA;NA
al awamia;0572-2721;NA;0;0;0;0;0;1;NA;NA;NA;NA
african and mediterranean agricultural journal al awamia;2658-9184;NA;0;0;0;0;0;1;NA;NA;NA;NA
revue des sciences humaines constantine;2588-2007;NA;0;0;0;0;0;1;NA;NA;NA;NA
the south african journal of environmental law and policy;1023-1765;2616-8499;0;1;1;0;0;1;English;NA;NA;English
east african journal of peace and human rights;1021-8858;NA;0;1;1;0;0;1;English;NA;NA;English
nigerian journal of animal production;0331-2062;NA;0;1;1;0;0;1;English;NA;NA;English
apa;NA;NA;0;0;0;0;0;1;English;NA;NA;English
africa online inasp london;NA;NA;0;0;0;0;0;1;English;NA;NA;English
genetics research international;2090-3162;2090-3154;0;1;1;1;0;0;NA;NA;NA;NA
notes du service geologique de tunisie;0496-456X;NA;0;0;0;0;0;1;French;NA;NA;French
african journal of neurological sciences;1992-2647;1015-8618;1;1;1;0;0;0;NA;NA;English;English
african journal of neurological sciences;1992-2647;1015-8618;1;1;1;0;0;0;NA;NA;NA;NA
african journal of neurological sciences;1992-2647;1015-8618;1;1;1;0;0;0;NA;NA;French;French
african journal of oral health;1608-7232;0189-5710;1;1;1;0;0;0;English;NA;English;English
african journal of paediatric nephrology;2488-9075;NA;1;0;0;0;0;1;English;NA;NA;English
african journal of physiotherapy and rehabilitation sciences;2141-8322;NA;1;1;1;0;0;1;English;NA;NA;English
african journal of political science;1027-0353;1726-3727;1;1;1;0;0;0;Arabic;NA;English;Multi-Language
african journal of political science;1027-0353;1726-3727;1;1;1;0;0;0;NA;NA;English;English
african journal of political science;1027-0353;1726-3727;1;1;1;0;0;0;English;NA;English;English
african journal of range forage science;1727-9380;1022-0119;1;0;0;0;1;1;English;English;NA;English
african journal of reproductive health;1118-4841;NA;1;1;1;1;1;1;French;English;NA;Multi-Language
african journal of reproductive health;1118-4841;NA;1;1;1;1;1;1;NA;English;NA;English
african journal of reproductive health;1118-4841;NA;1;1;1;1;1;1;English;English;NA;English
african journal of rheumatology;2664-441X;2307-2482;1;0;0;0;0;0;NA;NA;NA;NA
african journal of social issues;2734-3324;2672-5142;1;0;0;0;0;0;NA;NA;NA;NA
african journal of social work;1563-3934;2409-5605;1;0;0;1;0;1;NA;NA;NA;NA
african journal of sustainable development;2971-5253;2315-6317;1;0;0;0;0;0;English;NA;English;English
african journal of traditional complementary and alternative medicines;0189-6016;2505-0044;1;0;1;0;1;1;English;English;NA;English
ghana science association journal;0855-3823;NA;0;0;1;1;0;1;English;NA;NA;English
african journal of tropical entomology research;2791-0113;NA;1;0;0;0;0;0;NA;NA;English;English
african journal of tropical hydrobiology and fisheries;NA;0002-0036;1;1;1;0;0;1;French;NA;NA;French
african journal of tropical hydrobiology and fisheries;NA;0002-0036;1;1;1;0;0;1;English;NA;NA;English
african journal of urology;1110-5704;NA;1;1;1;0;0;0;NA;NA;English;English
african journal on conflict resolution;1562-6997;2309-737X;1;1;1;0;1;1;English;English;NA;English
african research review;1994-9057;2070-0083;1;1;1;0;0;0;English;NA;NA;English
african review of economics and finance;2410-4906;2042-1478;1;0;0;0;0;0;NA;NA;English;English
african safety promotion: a journal of injury and violence prevention;1728-774X;NA;1;1;1;0;1;0;NA;English;NA;English
african sociological review;1027-4332;NA;1;0;1;0;1;1;NA;Multi-Language;NA;Multi-Language
african zoology;1562-7020;2224-073X;1;1;1;0;1;0;NA;English;NA;English
afrika statistika;2316-090X;NA;1;1;1;0;0;0;NA;NA;English;English
afrimedic journal;2141-162X;NA;1;0;0;0;0;0;NA;NA;English;English
afrique science: revue internationale des sciences et technologie;1813-548X;NA;1;1;1;0;0;0;NA;NA;French;French
afrrev ijah: an international journal of arts and humanities;2227-5452;NA;1;1;1;0;0;0;NA;NA;English;English
afrrev laligens: an international journal of language literature and gender studies;2227-5460;NA;1;1;1;0;0;0;NA;NA;English;English
afrrev stech: an international journal of science and technology;2227-5444;NA;1;1;1;0;0;0;NA;NA;English;English
agricultural and food science journal of ghana;0855-5591;2821-9023;1;1;1;0;0;0;English;NA;English;English
agronomie africaine;1015-2288;2948-0086;1;1;1;0;0;0;NA;NA;English;English
agro-science;1119-7455;NA;1;1;1;0;0;0;English;NA;English;English
agrosearch;2467-8694;NA;1;1;1;0;0;1;English;NA;NA;English
alexandria journal of medicine;2090-5076;2090-5068;1;1;1;0;1;0;NA;English;NA;English
algerian journal of biosciences;2716-9375;2773-2916;1;0;0;0;0;0;NA;NA;English;English
algerian journal of engineering and technology;2716-9227;2716-9278;1;0;0;0;0;0;NA;NA;English;English
alqalam journal of medical and applied sciences;2707-7179;NA;1;0;0;0;0;0;NA;NA;NA;NA
anatomy journal of africa;2226-6054;2305-9478;1;1;1;0;0;0;NA;NA;English;English
african journal of microbiology research;1996-0808;NA;0;1;1;0;1;0;English;English;NA;English
anchor university journal of science and technology;2736-0067;2736-0059;1;0;0;0;0;0;NA;NA;English;English
animal research international;1597-3115;NA;1;1;1;0;0;1;English;NA;NA;English
annales africaines de medecine;2309-5784;2313-3589;1;0;1;0;0;1;French;NA;NA;French
annales des sciences agronomiques;1659-5009;NA;1;1;1;0;0;0;French;NA;NA;French
annals of biomedical sciences;1596-6569;NA;1;1;1;0;0;1;English;NA;NA;English
annals of health research;2536-6149;2476-8642;1;1;1;0;0;1;English;NA;NA;English
annals of ibadan postgraduate medicine;1597-1627;NA;1;1;1;0;0;0;NA;NA;NA;NA
annals of medical and health sciences research;2277-9205;NA;1;1;1;0;0;1;English;NA;NA;English
annals of nigerian medicine;0331-3131;NA;1;1;1;0;0;0;NA;NA;NA;NA
annals of pediatric surgery;2090-5394;1687-4137;1;1;1;0;0;0;NA;NA;English;English
archives of medical and biomedical research;1694-2078;1694-2086;1;1;1;0;0;0;NA;NA;NA;NA
arumaruka: journal of conversational thinking;NA;NA;1;0;0;0;0;0;NA;NA;English;English
atbu journal of environmental technology;1596-6305;NA;1;0;0;0;0;0;NA;NA;NA;NA
babcock university medical journal;2465-6666;2756-4657;1;1;1;0;0;1;English;NA;NA;English
bahir dar university journal of law;NA;NA;1;0;0;0;0;0;NA;NA;English;English
bahir dar university journal of law;NA;NA;1;0;0;0;0;0;NA;NA;Amharic;Amharic
bakolori journal of general studies;2630-6638;2630-6980;1;0;0;0;0;0;NA;NA;Na;NA
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;French;NA;English;Multi-Language
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;French;NA;NA;French
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;French;NA;French;French
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;French;NA;Arabic;Multi-Language
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;NA;NA;English;English
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;NA;NA;NA;NA
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;NA;NA;French;French
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;NA;NA;Arabic;Arabic
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;English;NA;English;English
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;English;NA;NA;English
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;English;NA;French;Multi-Language
batna journal of medical sciences;2437-0665;NA;1;0;1;0;0;0;English;NA;Arabic;Multi-Language
bayero journal of medical laboratory science;2635-3792;NA;1;0;0;0;0;0;NA;NA;English;English
bayero journal of nursing and health care;2659-1464;NA;1;0;0;0;0;0;NA;NA;English;English
bayero journal of pure and applied sciences;2006-6996;NA;1;1;1;0;0;0;English;NA;English;English
bio-research;2705-3822;NA;1;1;1;0;0;0;NA;NA;NA;NA
bnr economic review;2706-8587;NA;1;0;0;0;0;0;NA;NA;English;English
borno medical journal;0189-9422;2437-1734;1;1;1;0;0;0;NA;NA;English;English
bulletin of animal health and production in africa;0378-9721;NA;1;1;1;0;0;0;NA;NA;English;English
bulletin of animal health and production in africa;0378-9721;NA;1;1;1;0;0;0;NA;NA;NA;NA
bulletin of animal health and production in africa;0378-9721;NA;1;1;1;0;0;0;NA;NA;French;French
caliphate journal of science and technology;2705-3121;2705-313X;1;0;1;0;0;0;NA;NA;English;English
caliphate journal of science and technology;2705-3121;2705-313X;1;0;1;0;0;0;NA;NA;NA;NA
